player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
Bob Pettit,23,STL,33.0,33.0,80,0.413,72,38.8,25.7,16.2,2.6,,,.429,,.736,13.8,.236
Paul Arizin,27,PHW,21.0,21.0,80,0.263,72,37.8,24.2,7.5,2.6,,,.448,,.810,12.2,.214
Bob Cousy,27,BOS,11.0,11.0,80,0.138,72,38.4,18.8,6.8,8.9,,,.360,,.844,6.8,.119
Mel Hutchins,27,FTW,9.0,9.0,80,0.113,66,33.9,12.0,7.5,2.7,,,.425,,.643,4.4,.095
Dolph Schayes,27,SYR,2.0,2.0,80,0.025,72,35.0,20.4,12.4,2.8,,,.387,,.858,11.8,.225
Bill Sharman,29,BOS,2.0,2.0,80,0.025,72,37.5,19.9,3.6,4.7,,,.438,,.867,8.8,.157
Tom Gola,23,PHW,1.0,1.0,80,0.013,68,34.5,10.8,9.1,5.9,,,.412,,.733,6.5,.132
Maurice Stokes,22,ROC,1.0,1.0,80,0.013,67,34.7,16.8,16.3,4.9,,,.354,,.714,6.0,.125
