player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
Oscar Robertson,25,CIN,60.0,362.0,480,0.754,79,45.1,31.4,9.9,11.0,,,.483,,.853,20.6,.278
Wilt Chamberlain,27,SFW,19.0,215.0,480,0.448,80,46.1,36.9,22.3,5.0,,,.524,,.531,25.0,.325
Bill Russell,29,BOS,11.0,167.0,480,0.348,78,44.6,15.0,24.7,4.7,,,.433,,.550,17.3,.238
Bob Pettit,31,STL,4.0,69.0,480,0.144,80,41.2,27.4,15.3,3.2,,,.463,,.789,14.9,.217
Jerry West,25,LAL,2.0,39.0,480,0.081,72,40.4,28.7,6.0,5.6,,,.484,,.832,14.0,.232
Elgin Baylor,29,LAL,0.0,3.0,480,0.006,78,40.6,25.4,12.0,4.4,,,.425,,.804,7.2,.109
Hal Greer,27,PHI,0.0,3.0,480,0.006,80,39.5,23.3,6.1,4.7,,,.444,,.829,8.1,.124
Gus Johnson,25,BAL,0.0,3.0,480,0.006,78,36.5,17.3,13.6,2.2,,,.430,,.658,3.5,.060
Wayne Embry,26,CIN,0.0,1.0,480,0.002,80,36.4,17.3,11.6,1.4,,,.458,,.650,6.3,.104
Sam Jones,30,BOS,0.0,1.0,480,0.002,76,31.3,19.4,4.6,2.7,,,.450,,.783,8.9,.180
Jerry Lucas,23,CIN,0.0,1.0,480,0.002,79,41.4,17.7,17.4,2.6,,,.527,,.779,12.7,.187
