player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
Wilt Chamberlain,29,PHI,48.0,181.0,445,0.407,79,47.3,33.5,24.6,5.2,,,.540,,.513,21.4,.275
Jerry West,27,LAL,16.0,101.0,445,0.227,79,40.7,31.3,7.1,6.1,,,.473,,.860,17.1,.256
Oscar Robertson,27,CIN,14.0,93.0,445,0.209,76,46.0,31.3,7.7,11.1,,,.475,,.842,16.9,.232
Bill Russell,31,BOS,7.0,69.0,445,0.155,78,43.4,12.9,22.8,4.8,,,.415,,.551,11.7,.165
Sam Jones,32,BOS,2.0,11.0,445,0.025,67,32.2,23.5,5.2,3.2,,,.469,,.799,10.0,.222
Jerry Lucas,25,CIN,2.0,11.0,445,0.025,79,44.5,21.5,21.1,2.7,,,.453,,.787,8.1,.110
