player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
Kareem Abdul-Jabbar,29,LAL,159.0,159.0,247,0.644,82,36.8,26.2,13.3,3.9,1.2,3.2,.579,,.701,17.8,.283
Bill Walton,24,POR,29.0,29.0,247,0.117,65,34.8,18.6,14.4,3.8,1.0,3.2,.528,,.697,10.2,.215
Pete Maravich,29,NOJ,15.0,15.0,247,0.061,73,41.7,31.1,5.1,5.4,1.2,0.3,.433,,.835,6.4,.101
Bob Lanier,28,DET,11.0,11.0,247,0.045,64,38.2,25.3,11.6,3.3,1.1,2.0,.534,,.818,10.3,.203
Julius Erving,26,PHI,7.0,7.0,247,0.028,82,35.9,21.6,8.5,3.7,1.9,1.4,.499,,.777,11.5,.188
Moses Malone,21,TOT,6.0,6.0,247,0.024,82,30.6,13.2,13.1,1.1,0.8,2.2,.480,,.693,8.7,.167
Elvin Hayes,31,WSB,5.0,5.0,247,0.020,82,41.0,23.7,12.5,1.9,1.1,2.7,.501,,.687,12.1,.173
David Thompson,22,DEN,5.0,5.0,247,0.020,82,36.6,25.9,4.1,4.1,1.4,0.6,.507,,.766,10.7,.172
Maurice Lucas,24,POR,4.0,4.0,247,0.016,79,36.2,20.2,11.4,2.9,1.1,0.7,.466,,.765,8.7,.147
Artis Gilmore,27,CHI,2.0,2.0,247,0.008,82,35.1,18.6,13.0,2.4,0.5,2.5,.522,,.660,12.2,.203
George Gervin,24,SAS,1.0,1.0,247,0.004,82,33.0,23.1,5.5,2.9,1.3,1.3,.544,,.833,10.5,.187
George McGinnis,26,PHI,1.0,1.0,247,0.004,79,35.1,21.4,11.5,3.8,2.1,0.5,.458,,.681,8.6,.149
Norm Van Lier,29,CHI,1.0,1.0,247,0.004,82,37.8,10.2,4.5,7.8,1.6,0.2,.412,,.778,5.5,.085
Jo Jo White,30,BOS,1.0,1.0,247,0.004,82,40.6,19.6,4.7,6.0,1.4,0.3,.429,,.869,6.5,.094
