player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
Bill Russell,27,BOS,51.0,297.0,425,0.699,76,45.2,18.9,23.6,4.5,,,.457,,.595,15.5,.217
Wilt Chamberlain,25,PHW,9.0,152.0,425,0.358,80,48.5,50.4,25.7,2.4,,,.506,,.613,23.1,.286
Oscar Robertson,23,CIN,13.0,135.0,425,0.318,79,44.3,30.8,12.5,11.4,,,.478,,.803,15.6,.214
Elgin Baylor,27,LAL,3.0,82.0,425,0.193,48,44.4,38.3,18.6,4.6,,,.428,,.754,7.9,.179
Jerry West,23,LAL,6.0,60.0,425,0.141,75,41.2,30.8,7.9,5.4,,,.445,,.769,12.9,.201
Bob Pettit,29,STL,2.0,31.0,425,0.073,78,42.1,31.1,18.7,3.7,,,.450,,.771,11.5,.168
Richie Guerin,29,NYK,1.0,5.0,425,0.012,78,42.9,29.5,6.4,6.9,,,.442,,.820,12.1,.174
Bob Cousy,33,BOS,0.0,3.0,425,0.007,75,28.2,15.7,3.5,7.8,,,.391,,.754,6.3,.144
